loss1,losss2,epoc
12.429193496704102,0,0
12.429187774658203,0,1
12.429183959960938,0,2
12.429184913635254,0,3
12.42918586730957,0,4
12.42918586730957,0,5
12.429189682006836,0,6
12.429178237915039,0,7
12.429183959960938,0,8
12.429176330566406,0,9
12.429173469543457,0,10
12.429168701171875,0,11
12.429165840148926,0,12
12.429159164428711,0,13
12.429132461547852,0,14
12.429136276245117,0,15
12.429131507873535,0,16
12.429145812988281,0,17
12.429122924804688,0,18
12.429118156433105,0,19
12.429134368896484,0,20
12.429132461547852,0,21
12.42913818359375,0,22
12.429147720336914,0,23
12.429113388061523,0,24
12.429093360900879,0,25
12.429104804992676,0,26
12.429102897644043,0,27
12.429105758666992,0,28
12.429085731506348,0,29
12.42909049987793,0,30
12.429079055786133,0,31
12.429078102111816,0,32
12.428998947143555,0,33
12.428937911987305,0,34
12.428766250610352,0,35
12.428812026977539,0,36
12.428810119628906,0,37
12.428853034973145,0,38
12.42891788482666,0,39
12.429003715515137,0,40
12.429004669189453,0,41
12.428977966308594,0,42
12.428949356079102,0,43
12.428951263427734,0,44
12.428977966308594,0,45
12.42894172668457,0,46
12.428863525390625,0,47
12.428958892822266,0,48
12.428953170776367,0,49
12.428958892822266,0,50
12.42898178100586,0,51
12.429011344909668,0,52
12.429071426391602,0,53
12.4290771484375,0,54
12.429039001464844,0,55
12.429037094116211,0,56
12.429011344909668,0,57
12.42896842956543,0,58
12.428943634033203,0,59
12.428817749023438,0,60
12.428934097290039,0,61
12.428709983825684,0,62
12.428814888000488,0,63
12.428444862365723,0,64
12.42882251739502,0,65
12.428729057312012,0,66
12.428829193115234,0,67
12.428731918334961,0,68
12.42877197265625,0,69
12.428693771362305,0,70
12.428749084472656,0,71
12.428789138793945,0,72
12.428817749023438,0,73
12.428853988647461,0,74
12.428910255432129,0,75
12.428921699523926,0,76
12.428991317749023,0,77
12.42898178100586,0,78
12.429021835327148,0,79
12.429227828979492,0,80
12.430320739746094,0,81
12.428733825683594,0,82
12.428698539733887,0,83
12.428912162780762,0,84
12.428909301757812,0,85
12.428938865661621,0,86
12.42889404296875,0,87
12.42889404296875,0,88
12.428914070129395,0,89
12.428925514221191,0,90
12.428922653198242,0,91
12.428915023803711,0,92
12.428876876831055,0,93
12.428825378417969,0,94
12.428720474243164,0,95
12.428722381591797,0,96
12.428765296936035,0,97
12.428696632385254,0,98
12.428621292114258,0,99
12.42864990234375,0,100
12.428552627563477,0,101
12.428691864013672,0,102
12.428807258605957,0,103
12.42924690246582,0,104
12.449386596679688,0,105
12.428778648376465,0,106
12.428780555725098,0,107
12.428678512573242,0,108
12.42868423461914,0,109
12.428679466247559,0,110
12.42866325378418,0,111
12.428617477416992,0,112
12.428628921508789,0,113
12.428586959838867,0,114
12.428634643554688,0,115
12.428746223449707,0,116
12.429558753967285,0,117
12.42818546295166,0,118
12.428287506103516,0,119
12.428241729736328,0,120
12.428494453430176,0,121
12.428640365600586,0,122
12.428634643554688,0,123
12.428634643554688,0,124
12.428668975830078,0,125
12.428711891174316,0,126
12.428777694702148,0,127
12.428823471069336,0,128
12.42877197265625,0,129
12.428729057312012,0,130
12.42873764038086,0,131
12.428741455078125,0,132
12.428705215454102,0,133
12.428752899169922,0,134
12.428695678710938,0,135
12.428750038146973,0,136
12.428746223449707,0,137
12.428727149963379,0,138
12.428642272949219,0,139
12.42854118347168,0,140
12.428617477416992,0,141
12.428671836853027,0,142
12.428606033325195,0,143
12.428607940673828,0,144
12.428640365600586,0,145
12.428470611572266,0,146
12.428464889526367,0,147
12.428560256958008,0,148
12.428478240966797,0,149
12.428311347961426,0,150
12.428220748901367,0,151
12.428278923034668,0,152
12.42833137512207,0,153
12.428500175476074,0,154
12.428413391113281,0,155
12.428428649902344,0,156
12.428483963012695,0,157
12.428628921508789,0,158
12.428668022155762,0,159
12.428617477416992,0,160
12.428695678710938,0,161
12.428672790527344,0,162
12.428616523742676,0,163
12.428625106811523,0,164
12.428631782531738,0,165
12.428646087646484,0,166
12.42868709564209,0,167
12.428668975830078,0,168
12.428681373596191,0,169
12.428620338439941,0,170
12.428556442260742,0,171
12.428674697875977,0,172
